BACKUP DE USUARIOS GENÉRICOS - 2025-09-17 09:43:10
================================================================================

Usuario: Usuario_3
ID BD: 229
Biométrico ID: 3
Estación: Iberia
Total registros: 58
  - 2025-08-13 18:56:56+00:00 | NQS8 | Status: 15
  - 2025-08-14 03:00:31+00:00 | NQS8 | Status: 15
  - 2025-08-14 10:56:17+00:00 | NQS8 | Status: 15
  - 2025-08-14 19:07:28+00:00 | NQS8 | Status: 15
  - 2025-08-15 10:58:24+00:00 | NQS8 | Status: 15
  - 2025-08-15 19:26:48+00:00 | NQS8 | Status: 15
  - 2025-08-17 23:27:02+00:00 | NQS8 | Status: 15
  - 2025-08-18 11:04:53+00:00 | NQS8 | Status: 15
  - 2025-08-19 10:57:16+00:00 | NQS8 | Status: 15
  - 2025-08-19 22:59:30+00:00 | NQS8 | Status: 15
  - 2025-08-20 19:00:25+00:00 | NQS8 | Status: 15
  - 2025-08-21 18:58:36+00:00 | NQS8 | Status: 15
  - 2025-08-22 02:06:19+00:00 | NQS8 | Status: 15
  - 2025-08-25 18:13:17+00:00 | Iberia | Status: 15
  - 2025-08-26 03:21:33+00:00 | Iberia | Status: 15
  - 2025-08-26 18:27:40+00:00 | Iberia | Status: 15
  - 2025-08-27 03:08:29+00:00 | Iberia | Status: 15
  - 2025-08-27 10:36:46+00:00 | Iberia | Status: 15
  - 2025-08-28 19:34:32+00:00 | Iberia | Status: 15
  - 2025-08-29 18:18:36+00:00 | Iberia | Status: 15
  - 2025-08-30 03:17:35+00:00 | Iberia | Status: 15
  - 2025-08-30 10:44:20+00:00 | Iberia | Status: 15
  - 2025-08-30 19:25:30+00:00 | Iberia | Status: 15
  - 2025-08-31 10:34:10+00:00 | Iberia | Status: 15
  - 2025-08-31 19:35:49+00:00 | Iberia | Status: 15
  - 2025-09-02 02:25:55+00:00 | Iberia | Status: 15
  - 2025-09-03 18:40:21+00:00 | Iberia | Status: 15
  - 2025-09-04 03:18:58+00:00 | Iberia | Status: 15
  - 2025-09-04 18:37:33+00:00 | Iberia | Status: 15
  - 2025-09-05 03:10:39+00:00 | Iberia | Status: 15
  - 2025-09-05 19:15:49+00:00 | Iberia | Status: 15
  - 2025-09-06 10:36:59+00:00 | Iberia | Status: 15
  - 2025-09-06 19:27:10+00:00 | Iberia | Status: 15
  - 2025-09-07 18:25:40+00:00 | Iberia | Status: 15
  - 2025-09-08 03:37:58+00:00 | Iberia | Status: 15
  - 2025-09-08 18:54:32+00:00 | Iberia | Status: 15
  - 2025-09-09 03:21:55+00:00 | Iberia | Status: 15
  - 2025-09-09 18:14:40+00:00 | Iberia | Status: 15
  - 2025-09-10 03:10:25+00:00 | Iberia | Status: 15
  - 2025-09-11 02:08:06+00:00 | Iberia | Status: 15
  - 2025-09-11 12:34:58+00:00 | Iberia | Status: 15
  - 2025-09-12 18:14:36+00:00 | Iberia | Status: 15

----------------------------------------

Usuario: Usuario_7
ID BD: 233
Biométrico ID: 7
Estación: Iberia
Total registros: 129
  - 2024-12-10 10:41:58+00:00 | Iberia | Status: 15
  - 2024-12-11 17:52:30+00:00 | Iberia | Status: 15
  - 2024-12-12 17:47:06+00:00 | Iberia | Status: 15
  - 2024-12-13 10:16:54+00:00 | Iberia | Status: 15
  - 2024-12-13 19:08:04+00:00 | Iberia | Status: 15
  - 2024-12-14 09:56:06+00:00 | Iberia | Status: 15
  - 2024-12-15 17:56:25+00:00 | Iberia | Status: 15
  - 2024-12-17 01:46:51+00:00 | Iberia | Status: 15
  - 2024-12-18 17:55:12+00:00 | Iberia | Status: 15
  - 2024-12-19 17:47:07+00:00 | Iberia | Status: 15
  - 2024-12-21 09:55:19+00:00 | Iberia | Status: 15
  - 2024-12-23 02:23:34+00:00 | Iberia | Status: 15
  - 2024-12-25 18:17:36+00:00 | Iberia | Status: 15
  - 2024-12-26 02:39:35+00:00 | Iberia | Status: 15
  - 2024-12-26 10:07:59+00:00 | Iberia | Status: 15
  - 2024-12-27 10:00:56+00:00 | Iberia | Status: 15
  - 2024-12-27 18:50:56+00:00 | Iberia | Status: 15
  - 2024-12-28 18:19:14+00:00 | Iberia | Status: 15
  - 2024-12-29 17:26:33+00:00 | Iberia | Status: 15
  - 2024-12-30 02:50:57+00:00 | Iberia | Status: 15
  - 2024-12-30 10:12:23+00:00 | Iberia | Status: 15
  - 2024-12-31 09:59:13+00:00 | Iberia | Status: 15
  - 2025-01-02 01:48:36+00:00 | Iberia | Status: 15
  - 2025-01-03 01:51:53+00:00 | Iberia | Status: 15
  - 2025-01-03 10:47:13+00:00 | Iberia | Status: 15
  - 2025-01-04 17:57:06+00:00 | Iberia | Status: 15
  - 2025-01-05 17:42:40+00:00 | Iberia | Status: 15
  - 2025-01-06 09:59:50+00:00 | Iberia | Status: 15
  - 2025-01-06 18:54:08+00:00 | Iberia | Status: 15
  - 2025-01-07 10:00:41+00:00 | Iberia | Status: 15
  - 2025-01-08 17:57:19+00:00 | Iberia | Status: 15
  - 2025-01-09 02:20:01+00:00 | Iberia | Status: 15
  - 2025-01-09 09:48:05+00:00 | Iberia | Status: 15
  - 2025-01-09 18:42:54+00:00 | Iberia | Status: 15
  - 2025-01-10 09:44:51+00:00 | Iberia | Status: 15
  - 2025-01-10 23:12:52+00:00 | Iberia | Status: 15
  - 2025-08-06 18:57:44+00:00 | NQS8 | Status: 15
  - 2025-08-06 19:03:16+00:00 | NQS8 | Status: 15
  - 2025-08-07 18:55:38+00:00 | NQS8 | Status: 15
  - 2025-08-08 02:46:08+00:00 | NQS8 | Status: 15
  - 2025-08-08 18:53:56+00:00 | NQS8 | Status: 15
  - 2025-08-09 03:02:48+00:00 | NQS8 | Status: 15
  - 2025-08-10 02:55:06+00:00 | NQS8 | Status: 15
  - 2025-08-10 11:10:33+00:00 | NQS8 | Status: 15
  - 2025-08-11 01:55:09+00:00 | NQS8 | Status: 15
  - 2025-08-11 11:17:26+00:00 | NQS8 | Status: 15
  - 2025-08-12 10:55:22+00:00 | NQS8 | Status: 15
  - 2025-08-12 19:08:40+00:00 | NQS8 | Status: 15
  - 2025-08-13 10:56:09+00:00 | NQS8 | Status: 15
  - 2025-08-13 19:11:40+00:00 | NQS8 | Status: 15
  - 2025-08-14 18:53:54+00:00 | NQS8 | Status: 15
